"","spc_common","boroname","numtrees","avghealth"
"470","river birch","Queens",208,1.75961538461538
"471","red pine","Queens",52,1.84615384615385
"472","weeping willow","Queens",133,1.68421052631579
"473","hardy rubber tree","Queens",278,1.64748201438849
"474","trident maple","Queens",68,1.69117647058824
"475","Chinese elm","Queens",1020,1.81862745098039
"476","Persian ironwood","Queens",157,1.73248407643312
"477","bald cypress","Queens",313,1.80191693290735
"478","Atlantic white cedar","Queens",133,1.7593984962406
"479","arborvitae","Queens",175,1.89142857142857
"480","blue spruce","Queens",61,1.70491803278688
"481","spruce","Queens",126,1.76190476190476
"482","flowering dogwood","Queens",684,1.6827485380117
"483","American beech","Queens",88,1.75
"484","pagoda dogwood","Queens",81,1.72839506172839
"485","sassafras","Queens",73,1.65753424657534
"486","Turkish hazelnut","Queens",136,1.58823529411765
"487","silver birch","Queens",84,1.73809523809524
"488","blackgum","Queens",76,1.68421052631579
"489","kousa dogwood","Queens",121,1.7603305785124
"490","Schumard's oak","Queens",225,1.80888888888889
"491","pine","Queens",194,1.84020618556701
"492","white ash","Queens",400,1.8325
"493","black walnut","Queens",91,1.81318681318681
"494","holly","Queens",50,1.86
"495","eastern hemlock","Queens",25,1.64
"496","Japanese hornbeam","Queens",97,1.81443298969072
"497","pitch pine","Queens",10,2
"498","crepe myrtle","Queens",240,1.83333333333333
"499","Cornelian cherry","Queens",327,1.75229357798165
"500","Scots pine","Queens",15,1.8
"501","pignut hickory","Queens",54,1.75925925925926
"502","southern red oak","Queens",27,1.7037037037037
"503","Norway spruce","Queens",191,1.72774869109948
"504","mimosa","Queens",40,1.9
"505","paper birch","Queens",170,1.74705882352941
"506","bur oak","Queens",170,1.7
"507","bigtooth aspen","Queens",37,1.45945945945946
"508","pond cypress","Queens",30,1.8
"509","southern magnolia","Queens",48,1.83333333333333
"510","boxelder","Queens",15,1.66666666666667
"511","white pine","Queens",100,1.66
"512","two-winged silverbell","Queens",73,1.82191780821918
"513","Osage-orange","Queens",12,1.91666666666667
"514","Amur cork tree","Queens",71,1.23943661971831
"515","quaking aspen","Queens",35,1.85714285714286
"516","Himalayan cedar","Queens",30,1.73333333333333
"517","smoketree","Queens",42,1.83333333333333
"518","Douglas-fir","Queens",37,1.78378378378378
"519","false cypress","Queens",51,1.90196078431373
"520","red horse chestnut","Queens",58,1.93103448275862
"521","Ohio buckeye","Queens",19,1.63157894736842
"522","black pine","Queens",24,1.29166666666667
"523","Atlas cedar","Queens",39,1.8974358974359
"524","Shantung maple","Queens",27,1.77777777777778
"525","black maple","Queens",23,1.69565217391304
"526","European beech","Queens",51,1.82352941176471
"527","American larch","Queens",10,1.8
"528","European alder","Queens",17,1.70588235294118
"529","Norway maple","Staten Island",4127,1.70050884419675
"530","Callery pear","Staten Island",21059,1.7559713186761
"531","sweetgum","Staten Island",5010,1.80119760479042
"532","green ash","Staten Island",2395,1.74436090225564
"533","crimson king maple","Staten Island",1820,1.66868131868132
"534","silver maple","Staten Island",4053,1.72316802368616
"535","holly","Staten Island",16,1.75
"536","cherry","Staten Island",5115,1.76520039100684
"537","maple","Staten Island",2611,1.54959785522789
"538","flowering dogwood","Staten Island",293,1.74061433447099
"539","red maple","Staten Island",7373,1.77973687779737
"540","Japanese tree lilac","Staten Island",891,1.82491582491583
"541","bigtooth aspen","Staten Island",22,1.77272727272727
"542","Kentucky coffeetree","Staten Island",352,1.80681818181818
"543","hardy rubber tree","Staten Island",93,1.83870967741935
"544","crepe myrtle","Staten Island",87,1.77011494252874
"545","Chinese elm","Staten Island",626,1.88817891373802
"546",NA,"Staten Island",3875,NA
"547","Japanese zelkova","Staten Island",2378,1.84188393608074
"548","American elm","Staten Island",510,1.8235294117647
"549","northern red oak","Staten Island",609,1.7504105090312
"550","pin oak","Staten Island",7203,1.83340274885464
"551","silver linden","Staten Island",265,1.88301886792453
"552","sugar maple","Staten Island",549,1.76502732240437
"553","American linden","Staten Island",1023,1.8455522971652
"554","London planetree","Staten Island",9384,1.86295822676897
"555","littleleaf linden","Staten Island",1687,1.78008298755187
"556","crab apple","Staten Island",553,1.77938517179023
"557","honeylocust","Staten Island",4186,1.80506450071667
"558","Amur maackia","Staten Island",268,1.77238805970149
"559","white ash","Staten Island",155,1.69677419354839
"560","'Schubert' chokecherry","Staten Island",829,1.82629674306393
"561","purple-leaf plum","Staten Island",1762,1.75085130533485
"562","Amur maple","Staten Island",654,1.83792048929663
"563","ash","Staten Island",569,1.63093145869947
"564","mulberry","Staten Island",147,1.68027210884354
"565","white pine","Staten Island",47,1.87234042553191
"566","hedge maple","Staten Island",476,1.82983193277311
"567","Schumard's oak","Staten Island",282,1.65602836879432
"568","Chinese fringetree","Staten Island",48,1.89583333333333
"569","black locust","Staten Island",240,1.7
